,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
447660886_391055119951678_1705153965734673832_n.heic,-0.03181280452592469,0.3121772163613878,0.7716088124333856,-0.36521560954123916,0.16099444269703825,-0.040486162726152436,0.04462350804032957,-0.017186901865777336,-0.026949669096068073,-0.028746068016435866
447660886_391055119951678_1705153965734673832_n.heic,-0.032305229246205304,0.31232348066418314,0.7716751166989928,-0.3653330117737729,0.16079761064228026,-0.0390328427652773,0.04490987163016018,-0.017023670606990008,-0.026918025812692817,-0.029395971017707495
447861416_825867576136215_5130480985134150766_n.webp,-0.29607551835723817,0.03573608658617085,0.0550887489969348,-0.011295930022963488,-0.26511625477028283,-0.024235999702442994,-0.0605350309909364,0.07699202124929462,-0.03548184244855839,-0.07699839128795269
447045750_1433121490652885_2768526376644003202_n.webp,-0.3331052812356573,-0.017804783666753605,-0.314433068997423,0.024142141265582936,-0.08318236324183396,0.07096549418876198,-0.061521848557607145,0.031193496348178928,-0.04530525862504565,-0.08458444714017613
447045750_1433121490652885_2768526376644003202_n.webp,-0.3331052812356573,-0.017804783666753605,-0.314433068997423,0.024142141265582936,-0.08318236324183396,0.07096549418876198,-0.061521848557607145,0.031193496348178928,-0.04530525862504565,-0.08458444714017613
447174757_1186004665910205_7030394858497242714_n.webp,-0.2429739562246492,-0.2654326646759213,-0.4840414235408115,0.14865754380356141,-0.14095622525088933,0.06394033422680594,-0.08835039437650359,0.03429988940367504,-0.009796716166628932,-0.0017029459194675706
447174757_1186004665910205_7030394858497242714_n.webp,-0.2422083883767211,-0.2654860326296952,-0.48413181867010285,0.1487542771548901,-0.1409276723488279,0.06434514542835833,-0.0882169372900777,0.03434415624204192,-0.009913543966602385,-0.002071129011596494
447102199_1139080947311013_4117930554504482041_n.webp,-0.20295421918991513,-0.310113951816887,-0.4701627541872305,0.17074293021453849,-0.08647311721795368,0.06248192709359474,-0.0518116659640254,0.03643301174515602,0.021500461773569807,-0.06364467211263114
447102199_1139080947311013_4117930554504482041_n.webp,-0.20312274890989176,-0.3100987306429916,-0.4701756891980713,0.17069110384623307,-0.08649319915017561,0.06200061375806968,-0.05174897750395764,0.03646438979518841,0.021276087496639,-0.06419297351348865
447619954_7580052592113487_5270184515354649994_n.jpg,-0.02585632942684334,0.42792753744283013,0.04283229901876865,0.05299856272313666,-0.26092723762523806,0.15740588172250425,-0.06141905883672674,0.027861430437648736,-0.04328372580038032,-0.04056101347994209
447681862_801015521996627_8290274006767394044_n.jpg,-0.054506536247838834,-0.17557651258922194,-0.5063346223637992,0.48164473261518115,-0.3074556935203217,0.08780176550858147,-0.029024425629280384,0.047665928745543394,-0.14261016976647634,0.01911808139263215
447714158_757742769569707_8662689090390962721_n.jpg,-0.0150182408667099,0.5809085640959035,0.21966249557375556,0.14090106918188056,-0.11309937015825335,0.06675284688845687,-0.004557213641773047,-0.030889962745374415,-0.04757908810075951,-0.03777045604844516
447685750_8046598958713223_2899575611948385992_n.jpg,-0.505782981330467,0.2932814458563757,-0.46225959514432446,0.4365015595603351,-0.2114791511173245,0.08896548868994786,-0.02142307757937368,0.021470981364113177,-0.025536339097522457,0.007606713072419473
447833540_7752671851477067_3653494986324264664_n.jpg,-0.09370748989171762,0.07783621902421119,-0.5206461360683975,-0.6009643787781157,-0.23750863284034787,0.08322300961558719,0.005285232953669213,0.0399921103058883,0.016096386479215647,-0.038735467789787835
447717803_2317617655100246_3171712375455417552_n.jpg,0.02382368332059313,0.5775925678318409,0.04811760230531693,-0.14681693474841115,-0.16359815160068608,0.04653113123612296,-0.07546425146290181,-0.025455045453147963,-0.05786962025847045,-0.032089491424795086
447693763_1456464561923923_6742746305285298468_n.jpg,-0.09333343212642857,-0.3817831153292705,-0.7364307285812743,0.29475167776158023,-0.3374371547916082,0.10490204238320067,-0.010829447797508678,0.01885256446629827,-0.02624429733246465,0.004218939215807
447819138_849555427053955_951733568937063013_n.jpg,-0.10351457775408276,-0.6603576338389124,-0.10778881521556857,0.12596337737384494,-0.4437962092552554,-0.020833924701186085,-0.0956136207877822,0.0022347538722849937,-0.12532655074965057,0.0019244664735325392
447591054_1402151627163713_1037344818148734375_n.jpg,-0.05332934095783733,0.10534140072949576,-0.2788633141084453,0.38089082626769716,-0.24752999603103565,0.18205126333548796,0.03538620275603027,0.017206448657761126,-0.010123741328040123,-0.027038182336677135
447836975_762209379440148_5895953985484941654_n.jpg,-0.05967421529717446,0.4335322313878519,0.415497087858841,0.033488982413392133,-0.16428740398872632,0.04449622638621982,0.025327110351755684,0.0003729804585757452,0.011941986821050991,-0.0017605980515256615
445013687_7173727382731665_2682418181744660260_n.jpg,0.3642655112641932,-0.24307409224276397,0.5328222140070565,0.6396257015179754,0.09220206343383705,-0.27773616311197763,-0.04253007589031457,0.1207570507182705,-0.2717820922678703,-0.2716001066397014
445013687_7173727382731665_2682418181744660260_n.jpg,0.3642655112641932,-0.24307409224276397,0.5328222140070565,0.6396257015179754,0.09220206343383705,-0.27773616311197763,-0.04253007589031457,0.1207570507182705,-0.2717820922678703,-0.2716001066397014
446585750_1570385623539011_3049729267940730823_n.jpg,-0.3320529623121409,0.2594246634784302,-0.5787432128640957,0.1347945026501638,-0.2586059360773254,0.09137203727325814,-0.055638688722339735,-0.003990418821473313,-0.09904670366521524,-0.008553565414523089
446130230_452759040736418_4973561229692033114_n.webp,-0.4559491735017926,0.031777157215335056,0.002353224038592213,0.013527030400535787,0.08619646729787765,-0.015031898396055338,0.017007737990285352,0.045382668583949175,0.04442106824682496,-0.029396056407706973
446130230_452759040736418_4973561229692033114_n.webp,-0.4559491735017926,0.031777157215335056,0.002353224038592213,0.013527030400535787,0.08619646729787765,-0.015031898396055338,0.017007737990285352,0.045382668583949175,0.04442106824682496,-0.029396056407706973
447104113_984840283117870_3873624891877062784_n.jpg,0.06795090559446185,-0.2536374909523411,-0.20106543470408086,-0.8184273128212927,-0.19974384487514243,-0.05466350332533709,0.00515475151300122,-0.051572505197863404,0.010274440813586454,-0.07735489783598745
447104113_984840283117870_3873624891877062784_n.jpg,0.06795090559446185,-0.2536374909523411,-0.20106543470408086,-0.8184273128212927,-0.19974384487514243,-0.05466350332533709,0.00515475151300122,-0.051572505197863404,0.010274440813586454,-0.07735489783598745
447104113_984840283117870_3873624891877062784_n.jpg,0.06782175063458827,-0.2535412132097736,-0.20101977840092167,-0.8184695591597508,-0.1998731359104103,-0.053157379853253604,0.005370892905218943,-0.051478047879651385,0.010394161094663474,-0.07755471881984313
447104113_984840283117870_3873624891877062784_n.jpg,0.06795090559446185,-0.2536374909523411,-0.20106543470408086,-0.8184273128212927,-0.19974384487514243,-0.05466350332533709,0.00515475151300122,-0.051572505197863404,0.010274440813586454,-0.07735489783598745
447104113_984840283117870_3873624891877062784_n.jpg,0.06863597717394099,-0.2536720962708676,-0.20115047511789463,-0.8183629217561584,-0.1997252632321369,-0.054336864599549554,0.0053383310437548044,-0.05156718926532951,0.010049448803209984,-0.07788123012906302
447518657_791085073115795_7768583223269121923_n.jpg,0.026105519475917802,0.7555196125746998,-0.015384710708170086,-0.03497969722110308,-0.19718176678158553,-0.03763486291179199,0.13609308697156258,0.0011727497414396374,0.12889224752346964,-0.06843739005254366
447518657_791085073115795_7768583223269121923_n.jpg,0.026105519475917802,0.7555196125746998,-0.015384710708170086,-0.03497969722110308,-0.19718176678158553,-0.03763486291179199,0.13609308697156258,0.0011727497414396374,0.12889224752346964,-0.06843739005254366
447518657_791085073115795_7768583223269121923_n.jpg,0.026105519475917802,0.7555196125746998,-0.015384710708170086,-0.03497969722110308,-0.19718176678158553,-0.03763486291179199,0.13609308697156258,0.0011727497414396374,0.12889224752346964,-0.06843739005254366
447518657_791085073115795_7768583223269121923_n.jpg,0.0214622647003009,0.7561578330828104,-0.014727698715241384,-0.03563807259194701,-0.19772021567872516,-0.03501152724247719,0.13627010381363883,0.0013745080140745425,0.1294296025034071,-0.06742902455960825
447518657_791085073115795_7768583223269121923_n.jpg,0.026105519475917802,0.7555196125746998,-0.015384710708170086,-0.03497969722110308,-0.19718176678158553,-0.03763486291179199,0.13609308697156258,0.0011727497414396374,0.12889224752346964,-0.06843739005254366
447469408_486069220444423_5188209603816264877_n.jpg,0.6565465501121748,-0.7923251980880193,0.01959435328753503,-0.02432490949124514,0.021379683692590953,-0.3729167418593304,-0.01640880141238878,-0.08912057309479521,0.06634427830718839,0.1687522507924332
