,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
447717803_2317617655100246_3171712375455417552_n.jpg,0.7137254901960784,0.7607843137254902,0.7647058823529411,0.17639179527759552,0.19511111080646515,0.36470588235294116,0.3176470588235294,0.24705882352941178,0.1493401676416397,0.10700000077486038,0.615686274509804,0.615686274509804,0.592156862745098,0.1628352850675583,0.22155556082725525,0.9067878127098083,0.8803026676177979,0.7045565247535706,0.6843051314353943,0.6783381104469299,0.5392528772354126,0.5128850936889648,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
447693763_1456464561923923_6742746305285298468_n.jpg,0.1607843137254902,0.20392156862745098,0.21176470588235294,0.2130269557237625,0.222944438457489,0.11372549019607843,0.21176470588235294,0.25882352941176473,0.1633007526397705,0.11544444411993027,0.07058823529411765,0.10196078431372549,0.10980392156862745,0.15366335213184357,0.19033333659172058,0.7828819751739502,0.7820969820022583,0.7147804498672485,0.6854287385940552,0.5395923256874084,0.6404608488082886,0.3529644012451172,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0
447819138_849555427053955_951733568937063013_n.jpg,0.10196078431372549,0.21176470588235294,0.28627450980392155,0.1165991723537445,0.08038888871669769,0.44313725490196076,0.6235294117647059,0.7019607843137254,0.09084013104438782,0.06266666948795319,0.1411764705882353,0.20784313725490197,0.22745098039215686,0.1013970896601677,0.10805555433034897,0.8727992177009583,0.843499481678009,0.8240172266960144,0.7190006375312805,0.5030026435852051,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0
447591054_1402151627163713_1037344818148734375_n.jpg,0.30980392156862746,0.32941176470588235,0.3333333333333333,0.2455029934644699,0.304111123085022,0.21176470588235294,0.2235294117647059,0.2196078431372549,0.15652316808700562,0.16583333909511566,0.44313725490196076,0.4588235294117647,0.47058823529411764,0.135183185338974,0.1626666635274887,0.7781034111976624,0.7264914512634277,0.6987265348434448,0.681512713432312,0.6607290506362915,0.5709568858146667,0.38137054443359375,0.5063011050224304,0.7918915748596191,0.0,0.0,0.0,0.0,1.0,0.0
447836975_762209379440148_5895953985484941654_n.jpg,0.6313725490196078,0.6078431372549019,0.592156862745098,0.2823014259338379,0.3313888907432556,0.5019607843137255,0.47843137254901963,0.4549019607843137,0.19488953053951263,0.23127777874469757,0.7647058823529411,0.7372549019607844,0.7215686274509804,0.16386815905570984,0.17644444108009338,0.8628445863723755,0.8340433239936829,0.8107485175132751,0.741234540939331,0.7109168171882629,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0
445013687_7173727382731665_2682418181744660260_n.jpg,0.21176470588235294,0.19607843137254902,0.10196078431372549,0.06427892297506332,0.0676666647195816,0.7843137254901961,0.7843137254901961,0.37254901960784315,0.03606191277503967,0.005111111328005791,0.7294117647058823,0.7686274509803922,0.7686274509803922,0.019693342968821526,0.016388889402151108,0.9030025005340576,0.8188727498054504,0.6642924547195435,0.5658519864082336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
446585750_1570385623539011_3049729267940730823_n.jpg,0.43529411764705883,0.4745098039215686,0.4627450980392157,0.13886906206607819,0.09099999815225601,0.06666666666666667,0.08235294117647059,0.07058823529411765,0.12052420526742935,0.14394444227218628,0.30196078431372547,0.33725490196078434,0.32941176470588235,0.13721700012683868,0.0846666693687439,0.9313023090362549,0.8616266250610352,0.8568208813667297,0.8197517395019531,0.7805346250534058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
446130230_452759040736418_4973561229692033114_n.webp,0.5764705882352941,0.4588235294117647,0.2784313725490196,0.25833001732826233,0.041533924639225006,0.5764705882352941,0.4235294117647059,0.25098039215686274,0.13804109394550323,0.018879055976867676,0.5411764705882353,0.4470588235294118,0.3176470588235294,0.136106476187706,0.04159292206168175,0.9789326190948486,0.974846601486206,0.9696748852729797,0.8853703141212463,0.8135906457901001,0.6847344040870667,0.27603912353515625,0.6230148077011108,0.11029815673828125,0.5476723909378052,0.2813529968261719,1.0,0.0,1.0,0.0
447104113_984840283117870_3873624891877062784_n.jpg,0.7803921568627451,0.7568627450980392,0.807843137254902,0.2807290852069855,0.04546666517853737,0.6823529411764706,0.5607843137254902,0.5843137254901961,0.16581940650939941,0.1703999936580658,0.08235294117647059,0.0392156862745098,0.0392156862745098,0.02889571152627468,0.005266666878014803,0.9217925071716309,0.8603574633598328,0.7730715870857239,0.7110579013824463,0.5044214129447937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0
447518657_791085073115795_7768583223269121923_n.jpg,0.7450980392156863,0.7176470588235294,0.7568627450980392,0.4807669222354889,0.009333333000540733,0.27450980392156865,0.16470588235294117,0.1843137254901961,0.1309674084186554,0.05806666612625122,0.6823529411764706,0.6509803921568628,0.6901960784313725,0.10571885108947754,0.01073333341628313,0.8637142777442932,0.8416703343391418,0.7684392929077148,0.7545408010482788,0.5984068512916565,0.5810849070549011,0.023162841796875,0.5684807300567627,0.013551712036132812,0.5500221252441406,0.0089263916015625,1.0,0.1,1.0,0.0
