,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
447174757_796513615922342_4639507068913616878_n.jpg,-0.2579096282276737,-0.4398362471451175,-0.5746270561007202,-0.041286995030162366,-1.0571775744499052,0.047106915881176215,-0.250320989008911,-0.1502480693613409,0.034407300562550536,-0.10290474585639792,0.08916453345988057,0.09441028795950017,-0.033911000753172646,-0.03267228778389814,-0.036302439203667644,0.1942056927361342,-0.09010645482775381
447197012_813449234184461_7132412545008586549_n.jpg,-0.6853167645909936,-0.14767302730835222,0.19422701520541474,-0.3164458520014126,-0.8462105799005617,-0.1808540252622646,0.21777334549568061,-0.03313224376133897,-0.0376121699653352,0.011470000668632553,-0.11620641478242415,-0.03778417035506099,-0.06918703499801138,0.011405223384144923,-0.005655601515794151,-0.051560708779856884,-0.019632591419921193
447620611_906999291257507_7684561421610554562_n.webp,-0.8028540153911964,-0.16100117180801102,0.22478618746689707,-0.6229569086164884,0.4059749658840596,-0.4880750443716793,0.19434333658228306,-0.02809726555325412,-0.061354165644658794,-0.015565250537981672,-0.17873065422357695,0.052991890754416085,0.21077888752289226,0.07925673986508332,0.06964755765672309,-0.03658475384411877,-0.06125107219309887
446350540_1444320182957167_5279528732628825771_n.jpg,1.3429281884111146,0.2753194895185561,-0.66340055227156,-0.3519662714510084,-0.15005937554766144,0.17334313976124482,0.02105189347999191,-0.0023541709377759013,-0.307835014976243,0.10784299676109899,0.08967222923529537,-0.1028030607542716,0.058460283213720925,-0.05444662432481628,-0.03166543650482952,0.06701174873452384,-0.049495499351112957
446350674_1487609608494671_2684105724929803000_n.jpg,0.7987021143126889,0.6711551404908471,-0.10372043393095197,-0.5377105220120219,-0.03265755904341931,-0.2489319560397375,0.35119936467255397,0.00026846418304548865,-0.10741728936863294,-0.14205202411441079,-0.23184231264186078,-0.1728250753960294,-0.0686910428274276,0.04347115848825516,0.06902144431275499,0.004820904613957718,-0.09282075692074178
398334119_307946245424354_4909216788552273539_n.jpg,-0.1454581391171979,0.1631052468698107,0.2672227613763374,-0.5885635013915297,0.08078134177949597,-0.05587369516521378,0.4695053516879353,0.010475395524824899,-0.15649174583180325,-0.18102473090226404,-0.1670780114084572,-0.09351298495506914,-0.015986310056301526,0.14438949756494018,-0.06380036962369717,-0.0006816966628792997,-0.015550663606201501
432685929_426790093089379_2486182765620239702_n.jpg,-0.046709696727141835,-0.5686408893291033,0.3144938585563744,-0.3382204946760604,-0.1149448664477489,-0.3235713619498076,-0.2684436995066908,0.42871440629829083,0.13329432908043798,0.10213780915770615,-0.03237591132296796,0.23425911284578732,0.09512072005907454,-0.1795591497879117,0.1265920650778336,0.3163478367679155,-0.04402201507080657
447481901_1449095489048004_3185835145354143105_n.webp,-0.15391642604489617,-0.5772742568385067,-0.14522714982187593,-0.011373667237946111,-0.2347162062201894,0.14256374961238663,0.025050694822720813,0.7721930629242939,0.11572052878755769,0.17098773371419343,-0.021871559908142466,0.1502161042763598,-0.053205185290850686,-0.0920730541774176,0.03341512289381095,-0.0035630093173606666,0.04235911603696293
441194873_18436995793015183_5897724158877825507_n.jpg,1.3413799591663154,0.7979264490692716,0.37766867216820765,0.019184647931647307,-0.7667969573230091,0.47996325841512427,-0.0755148821718716,-0.21287588080695588,-0.5972283765045955,0.5480551016129256,-0.27438261440367656,-0.3352895105441533,-0.08493501194864861,0.17608946369911618,0.09045930331180585,0.12757638282386694,0.10950878104735497
404944317_311281045195697_991860717527359458_n.jpg,-0.7442107307252945,-0.23323053276009698,-0.007028188512917523,-0.5223473180886936,0.23652305144180447,-0.32295815095424146,-0.03168803369738393,-0.17641567596356586,-0.04656544027243005,0.1304974855601681,-0.2174692299527662,-0.2440160642870867,-0.10302246580839992,0.008833202502816178,0.0721255195900609,-0.07144538087358236,0.010768217545379417
