,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
447600379_743932257707572_626698253282052354_n.jpg,0.0653134291746369,-0.12569512557103613,0.8169558106694977,0.03099481731618727,-0.20407267126679302,-0.3723785568010118,-0.39660024291623464,0.09355433412934537,-0.05227024902130992,0.041646477929200086,0.031733477113828915,0.053571100051231155,0.14417398634548168,-0.082993438118283,0.017379933731167942,-0.1666804024204199
447826081_420941620838172_9104752989154609764_n.jpg,-0.3045904221625265,-0.319678266192459,0.561958644140763,0.09102717682307772,0.14057387105574748,-0.3321924250152911,0.22072045710839516,0.31870305307099744,0.0048529833827296925,-0.15667032149629379,0.04455871620807476,0.024613623175862114,0.036652550007330684,0.14319509834361357,0.17984957977683771,0.1185760986248985
447637866_472128788615368_5871446674025357213_n.jpg,-0.41092509291799484,-0.19605395273315476,0.6567106732272642,0.10931222408569201,0.23499876191410027,-0.12175155437679225,0.1752777626713384,0.39654642890900516,-0.015465071708124077,-0.09614843772768131,0.07313733337334516,0.09812958428496382,0.2126696349029037,0.03326076921340891,0.15895224976364164,0.026160421510730218
447869978_1026761825829899_3012589638110608698_n.jpg,-0.5562492533164921,-0.056805397153376874,-0.7544969433246742,-0.133214539411153,0.08755041185929387,-0.456997668167031,0.07602404675076879,0.1864557092850883,0.14735460533383757,0.08366452166195211,-0.06788597908874415,0.09762233937186895,-0.041438914127763654,-0.13174349927903448,-0.10585154290101036,-0.03752797432062624
447674022_769327355312805_5706256901021035551_n.jpg,-0.6322747145178998,0.37944782519578607,-0.12875216806129514,-0.2679134260065347,0.20528962282533805,-0.5102237804975523,0.24671290620024547,0.08126628209932894,0.11781076648099371,0.13668459920259016,-0.04687973096318666,0.04438458872977423,-0.00973492540023586,-0.11634990872746366,-0.1176243773984228,0.048415155869267354
447877962_1149358763012601_6886019381693813204_n.jpg,-0.4084320056836289,-0.15061060820331748,-0.19303218480161607,-0.43344103289596103,0.21339982907967714,-0.48757213163337654,0.12243638063539747,0.09719282146755423,0.06110434600291279,0.13224665246489095,-0.058188572026801805,0.19327180510347763,-0.11878722075680816,-0.013780104580800536,-0.1340287429717355,-0.08495643209799258
447940120_344989981695095_5137864411195915723_n.webp,0.22105436440220522,0.08202207725443829,0.04963138829053328,0.36160824188882834,-0.2823765406917129,-0.18125037433438693,0.000736279106488043,-0.1109277640668099,0.02378372068797188,-0.06874725075773186,-0.06994923078734691,0.1680959888200105,0.021683830675209664,-0.11028624251109198,0.05474766641461322,-0.05839679436859853
447242950_18009795470422286_1287236116427855635_n.jpg,-0.0493737675931382,-0.12784712699939588,0.28981214164039837,0.07299437811427918,-0.404885805402358,0.07741394551780395,0.38268927800610225,0.20708695241630148,-0.14681805250521862,0.1755362033525556,0.033316566822055936,-0.037485265759157914,-0.21588867797941938,0.29845793891261285,-0.05216178036780176,-0.016151873663402826
447685966_1012251457127230_924922567709790141_n.webp,-0.4100337103755676,-0.5253013068990765,0.34423536036853897,0.25515782889170513,0.050641007491375026,0.25124527123087687,-0.32854257211415694,0.18322288915230245,0.22369908200531785,0.1376361586701982,0.22834312314764682,-0.027875640703828586,0.09217319146271323,-0.1699805211381442,0.07859193804542551,-0.13175343194097308
447306493_1170600070622428_1267832792315780024_n.jpg,-0.05406306312988332,0.30022659899419774,0.08289339088747406,0.2721984724885371,-0.41515458582275616,-0.24138439609326395,-0.04467886564472046,-0.4239103320165042,0.025709970604731052,0.1998026674670507,-0.22670637316707187,0.2590763937619533,-0.08205995763082079,0.19567779545375613,0.01223224398282937,0.16797202608134337
